element_id,part_num,color_id,design_id
82527,3039pr9997,15,82527
4283010,54617,288,
81383,3069bpr0026,15,81383
4240245,3068bpr0179,19,
4527840,53548,135,53548
4505110,59231,72,
6515606,28621pr3343,41,73863
4173497,4232,33,
4121506,76091,8,
4169783,31382c01,4,
6548837,66857pr9995,297,
6070093,970c19pr0064,70,
4192583,2560,6,2560
6236513,28421pr0001,191,
4164350,42022,320,
4142727,43337,0,
4239147,43337,0,
6501211,970c22pat03,4,21019
4125461,2431pr0026,14,
4188021,2431pr0057,15,
4224926,42022,85,
6469857,17347,31,5361
4617551,2654,0,93791
4157670,32535,0,32535
6014042,90615,72,
6006024,970c22,4,
6605331,5848,71,5848
6510632,93087,0,93087
6058856,41879a,321,
4245120,50946,0,50946
4112287,32056,0,32056
6529026,69729pr9988,0,111544
74160,73090b,4,
4191115,44569,14,
6410520,51274,322,51274
4667799,970c28pr0219,1,
4296268,75c12,0,60676
6614517,32126,28,3182
4595981,47517c01pr0001,0,47517
4552413,4868b,0,4868
4106385,6845,100,
4186394,973c27h08pr0009,15,73403
4652069,87990,0,87990
6611557,5489,47,5489
6154363,93557pr0002,288,27038
4609907,93383,47,93383
4299844,75c32,0,57274
6558124,3006pr0008,0,
4114670,32068,0,32068
6557658,973c31h01pr9998,2,
6554220,99781,272,99781
4119333,32175,0,32175
4114671,32069,0,32069
4114634,32063,0,32063
4547373,32019,0,32019
6120122,973c27h14pr0001,71,88585
4141010,32104c01,1,
4594560,85863pr0047,320,
4613073,85863pr0056,297,
4289864,57999,0,57999
4655565,973c03h03pr1961,0,76382
4615580,85863pr0069,0,
4613069,85863pr0053,14,
6494103,5092,14,
4551360,30169,0,30169
6056825,55981,0,55981
4652375,92233,0,92233
6568565,54200pr0030,71,114628
4168621,75271pr0010,10,75271
4536520,60806,0,60806
4113299,78c02,0,72504
6572684,1751pr0013,15,
6000155,98592,0,98592
4143751,30541,0,30541
6055018,30480pr0001,320,
6252269,35394,36,35394
4143283,23263,115,23263
6490448,973c03h01pr7035,0,88585
6106329,973c31h03pr0002,2,
6571750,87079pr9855,15,
4118687,970c03pr0013,0,83378
4284507,52189c03,135,
4160778,6053c02,15,75047
4153633,6363,383,
605401,6054,15,
6294775,3001pr1040,2,67166
4161085,2586pr0021,19,
6083514,973e067pr2578,0,
4129887,22499,1,
4614117,59231,378,
6076664,973c03h10pr1688,320,
4161081,30127pr0001,15,
6287529,36109,1,
4211768,30190,71,
4119389,31631pat0002,4,
6487943,10108722,9999,
6514214,3005,1095,35382
6055626,15413,0,15413
4169886,42061pr0005,15,
4144472,6294,383,
4153249,40889,2,
4290346,2291pr0001,19,
6129833,973d07pr9919,297,
4168740,30603pr0006,1,
6521412,10110499,9999,
6259071,54200,308,54200
4613980,2654,72,93791
4648117,98282,0,98282
4583245,970c21,297,88584
4583630,41879a,19,90380
6295977,41879a,1,
6548832,25975pr0003,15,
4596243,92258,0,92258
4586189,89849,135,89849
4111951,2994,0,2994
4254947,3959,6,
6507958,23969,297,35387
4142992,30383,0,30383
6514207,3005,47,35382
6614516,62462,28,29219
614305,3941,19,
4522653,30171,0,30171
4242182,3959,72,
4548726,973c03h03pr1469,0,76382
6104403,18976,0,18976
395927,3959,8,
4113870,30180,0,30180
4563477,87747,0,87747
6008340,30163,0,30163
6507225,5845,15,5845
4295061,973c03h12,0,76382
6502819,10109652,9999,
4200318,46827c02,47,46828
4260210,52569,9999,
73701,3241b,7,
6234695,36840,0,36840
4295326,973c03h02,0,76382
6510704,28621pr9778,14,109998
4140430,32291,0,32291
395951,3959,15,
4141301,32294,0,32294
4153013,30647,0,30647
6515227,5904,25,
6515615,28621pr4231,36,105778
6549462,67043pat0001,19,100927
6558427,973c21h10pr0001,320,76382
4527063,62698,0,62698
6568522,66915,29,66915
6481451,107401,320,107401
4632584,90661,0,90661
4119381,54537,4,72570
6154291,970c03pr1081,0,27020
4161199,6054,15,6054
6158008,27359,9999,27360
6052851,11291,0,11291
170145,170145,9999,
4141908,76399pr0010,14,76399
395921,3959,4,
4179971,44342pr0001,2,
4124328,78c02,1,
4119379,72567,1,
6301930,92092,72,52526
6397921,92092,28,52526
6491438,5404,3,
6552220,4365,72,4365
6351430,51274,326,51274
4219596,973c16h01pr0303,15,73403
6252902,48092,0,48092
6078259,85080,71,
395905,3959,19,
4143730,31441pr0001,15,40070
6153243,26852,9999,
4109909,6896ac01,12,
6070092,973c28h14pr1815,1,
4180214,2541,15,
6119988,973c01h03pr2846,4,
6143095,973c28h14pr9999,71,
4615578,85863pr0067,1,
4169208,43062,25,
4142359,76204,14,
4161086,2586pr0027,19,
6494787,973c27h27pr0008,15,76382
4171479,42060pr0005,15,
6528806,973c25h01pr0004,272,76382
6523917,75c09,15,100756
6511448,98138pr0426,297,110030
6507801,1749,41,1749
6388483,26603,14,26603
6488792,4367,10,4367
4288259,2951,0,2951
6568570,4515pr0009,0,114633
6154293,970c27pr1082,15,27021
6502822,10109653,9999,
6510675,970c42pr0001,322,109969
6022490,970c03pr0363,0,10738
4142870,2577,0,2577
6554232,4304,272,4304
4193224,2538b,0,2538
6592935,15712,78,44842
4111944,78c15,0,71946
4143281,23260,74,23260
4103590,3003,4,
